Julian Days,Io,,Callistro,,Ganymide,,Europa,
J2000,Distance (pixel),err (pixel),Distance(pixel),err (pixel),Distance(pixel),err (pixel),Distance(pixel),err (pixel)
9626.843738,-21.44,1.00,208.98,1.00,74.87,1.00,-75.78,1.00
9626.853854,-20.17,1.00,208.80,1.00,72.76,1.00,-75.47,1.00
9626.863889,-18.49,1.00,207.82,1.00,72.24,1.00,-75.85,1.00
9626.874178,-17.30,1.00,208.88,1.00,70.90,1.00,-76.13,1.00
9626.885231,-15.20,1.02,207.95,1.02,69.96,1.02,-76.20,1.02
9626.895139,-16.07,1.00,208.05,1.00,70.28,1.00,-76.47,1.00
9626.906227,NaN,NaN,207.74,1.00,67.83,1.00,-74.84,1.00
9626.915729,NaN,NaN,207.16,1.00,67.01,1.00,-75.64,1.01
9626.937836,NaN,NaN,NaN,NaN,66.99,1.01,-75.95,1.01
9627.934109,NaN,NaN,180.96,1.00,-34.42,1.00,20.00,1.00
9627.910984,NaN,NaN,181.83,1.03,-32.43,1.03,16.61,1.04
9627.907975,NaN,NaN,183.01,1.00,-32.27,1.00,16.01,1.00
9627.903391,NaN,NaN,183.64,1.00,-31.37,1.00,NaN,NaN
9627.890486,NaN,NaN,183.98,1.00,-30.36,1.00,NaN,NaN
9627.883356,NaN,NaN,184.07,1.00,-30.13,1.00,NaN,NaN
9627.875405,NaN,NaN,183.49,1.00,-29.80,1.00,NaN,NaN
9627.867905,NaN,NaN,184.29,1.00,-28.63,1.00,NaN,NaN
9627.863993,NaN,NaN,183.06,1.00,NaN,NaN,NaN,NaN
9627.859294,NaN,NaN,184.28,1.00,NaN,NaN,NaN,NaN
9628.825764,NaN,NaN,137.93,1.00,-105.74,1.00,70.67,1.00
9628.827083,NaN,NaN,137.56,1.00,-106.28,1.00,70.12,1.00
9628.833657,NaN,NaN,137.06,1.00,-105.64,1.00,70.77,1.00
9628.854526,NaN,NaN,135.93,1.00,-106.77,1.00,69.65,1.00
9628.865440,NaN,NaN,135.31,1.00,-107.40,1.00,69.03,1.00
9628.888542,21.72,1.00,133.05,1.00,-108.68,1.00,67.75,1.00
9628.896100,22.99,1.00,134.16,1.00,-110.02,1.00,67.88,1.00
9628.902847,23.61,1.00,132.80,1.00,-108.91,1.00,67.10,1.00
9628.911100,25.71,1.00,132.77,1.00,-108.94,1.00,67.65,1.00
9628.916065,26.28,1.00,131.37,1.00,-109.52,1.00,66.07,1.00